<<<<<<< HEAD
HDEPRCODE,FIXEDAMT2,A,Custom Fixed Amount,FA,100.00                                                    
HDEPRCODE,TBLDB2,A,Custom Tbl of Depreciable Base,TD                                               
DDEPRCODE,0001,10
DDEPRCODE,0002,09
DDEPRCODE,0003,08
DDEPRCODE,0004,07
DDEPRCODE,0005,06
DDEPRCODE,0006,05
DDEPRCODE,0007,04
DDEPRCODE,0008,03
DDEPRCODE,0009,02
DDEPRCODE,0010,01
DDEPRCODE,0011,45
=======
HDEPRCODE,FIXEDAMT2,A,Custom Fixed Amount,FA,100.00                                                    
HDEPRCODE,TBLDB2,A,Custom Tbl of Depreciable Base,TD                                               
DDEPRCODE,0001,10
DDEPRCODE,0002,09
DDEPRCODE,0003,08
DDEPRCODE,0004,07
DDEPRCODE,0005,06
DDEPRCODE,0006,05
DDEPRCODE,0007,04
DDEPRCODE,0008,03
DDEPRCODE,0009,02
DDEPRCODE,0010,01
DDEPRCODE,0011,45
>>>>>>> branch 'master' of https://github.com/ethanhort/PayrollBridge.git
