<<<<<<< HEAD
HCOA,Fund,08,Special Appropriated Funding,NAF,,,N/A,
HCOA,GL,58005,Non Employee Training, NE Training,EXP,,PRF,19 Pt IX
HCOA,GL,58006,Non Employee Registation, NE Registation,EXP,,PRF,19 Pt IX
HCOA,GL,58007,Non Employee Travel,NE Travel,EXP,,PRF,19 Pt IX
HCOA,GL,58008,Non Employee Meals,NE Meals,EXP,,PRF,19 Pt IX
HCOA,GL,11999,USD Cash Account,USD Cash,CSH,,CCE,1 Pt X
=======
HCOA,Fund,08,Special Appropriated Funding,NAF,,,N/A,
HCOA,GL,58005,Non Employee Training, NE Training,EXP,,PRF,19 Pt IX
HCOA,GL,58006,Non Employee Registation, NE Registation,EXP,,PRF,19 Pt IX
HCOA,GL,58007,Non Employee Travel,NE Travel,EXP,,PRF,19 Pt IX
HCOA,GL,58008,Non Employee Meals,NE Meals,EXP,,PRF,19 Pt IX
HCOA,GL,11999,USD Cash Account,USD Cash,CSH,,CCE,1 Pt X
>>>>>>> branch 'master' of https://github.com/ethanhort/PayrollBridge.git
